L_mm,delta_f_kHz,n_modes_in_BW
0.5000,1483.0000,1.35
0.5980,1239.9874,1.61
0.6960,1065.4043,1.88
0.7940,933.9146,2.14
0.8920,831.3155,2.41
0.9899,749.0279,2.67
1.0879,681.5635,2.93
1.1859,625.2479,3.20
1.2839,577.5284,3.46
1.3819,536.5764,3.73
1.4799,501.0475,3.99
1.5779,469.9315,4.26
1.6759,442.4543,4.52
1.7739,418.0127,4.78
1.8719,396.1302,5.05
1.9698,376.4247,5.31
2.0678,358.5869,5.58
2.1658,342.3631,5.84
2.2638,327.5438,6.11
2.3618,313.9543,6.37
2.4598,301.4474,6.63
2.5578,289.8988,6.90
2.6558,279.2025,7.16
2.7538,269.2673,7.43
2.8518,260.0150,7.69
2.9497,251.3773,7.96
3.0477,243.2951,8.22
3.1457,235.7165,8.48
3.2437,228.5957,8.75
3.3417,221.8925,9.01
3.4397,215.5712,9.28
3.5377,209.6001,9.54
3.6357,203.9509,9.81
3.7337,198.5983,10.07
3.8317,193.5193,10.33
3.9296,188.6937,10.60
4.0276,184.1029,10.86
4.1256,179.7302,11.13
4.2236,175.5604,11.39
4.3216,171.5797,11.66
4.4196,167.7754,11.92
4.5176,164.1363,12.18
4.6156,160.6516,12.45
4.7136,157.3118,12.71
4.8116,154.1081,12.98
4.9095,151.0322,13.24
5.0075,148.0768,13.51
5.1055,145.2347,13.77
5.2035,142.4998,14.04
5.3015,139.8659,14.30
5.3995,137.3276,14.56
5.4975,134.8798,14.83
5.5955,132.5177,15.09
5.6935,130.2370,15.36
5.7915,128.0334,15.62
5.8894,125.9032,15.89
5.9874,123.8426,16.15
6.0854,121.8485,16.41
6.1834,119.9175,16.68
6.2814,118.0468,16.94
6.3794,116.2336,17.21
6.4774,114.4752,17.47
6.5754,112.7692,17.74
6.6734,111.1133,18.00
6.7714,109.5054,18.26
6.8693,107.9433,18.53
6.9673,106.4252,18.79
7.0653,104.9491,19.06
7.1633,103.5135,19.32
7.2613,102.1166,19.59
7.3593,100.7569,19.85
7.4573,99.4330,20.11
7.5553,98.1433,20.38
7.6533,96.8867,20.64
7.7513,95.6619,20.91
7.8492,94.4677,21.17
7.9472,93.3029,21.44
8.0452,92.1665,21.70
8.1432,91.0574,21.96
8.2412,89.9747,22.23
8.3392,88.9174,22.49
8.4372,87.8848,22.76
8.5352,86.8758,23.02
8.6332,85.8897,23.29
8.7312,84.9258,23.55
8.8291,83.9832,23.81
8.9271,83.0614,24.08
9.0251,82.1595,24.34
9.1231,81.2771,24.61
9.2211,80.4134,24.87
9.3191,79.5678,25.14
9.4171,78.7399,25.40
9.5151,77.9290,25.66
9.6131,77.1346,25.93
9.7111,76.3563,26.19
9.8090,75.5935,26.46
9.9070,74.8458,26.72
10.0050,74.1128,26.99
10.1030,73.3939,27.25
10.2010,72.6889,27.51
10.2990,71.9973,27.78
10.3970,71.3188,28.04
10.4950,70.6529,28.31
10.5930,69.9993,28.57
10.6910,69.3577,28.84
10.7889,68.7278,29.10
10.8869,68.1092,29.36
10.9849,67.5016,29.63
11.0829,66.9048,29.89
11.1809,66.3184,30.16
11.2789,65.7423,30.42
11.3769,65.1760,30.69
11.4749,64.6194,30.95
11.5729,64.0723,31.21
11.6709,63.5343,31.48
11.7688,63.0053,31.74
11.8668,62.4851,32.01
11.9648,61.9733,32.27
12.0628,61.4699,32.54
12.1608,60.9746,32.80
12.2588,60.4872,33.06
12.3568,60.0075,33.33
12.4548,59.5354,33.59
12.5528,59.0707,33.86
12.6508,58.6131,34.12
12.7487,58.1626,34.39
12.8467,57.7190,34.65
12.9447,57.2820,34.91
13.0427,56.8517,35.18
13.1407,56.4277,35.44
13.2387,56.0101,35.71
13.3367,55.5985,35.97
13.4347,55.1930,36.24
13.5327,54.7934,36.50
13.6307,54.3994,36.77
13.7286,54.0112,37.03
13.8266,53.6284,37.29
13.9246,53.2510,37.56
14.0226,52.8789,37.82
14.1206,52.5119,38.09
14.2186,52.1500,38.35
14.3166,51.7931,38.62
14.4146,51.4410,38.88
14.5126,51.0937,39.14
14.6106,50.7510,39.41
14.7085,50.4129,39.67
14.8065,50.0792,39.94
14.9045,49.7500,40.20
15.0025,49.4251,40.47
15.1005,49.1043,40.73
15.1985,48.7877,40.99
15.2965,48.4752,41.26
15.3945,48.1666,41.52
15.4925,47.8620,41.79
15.5905,47.5612,42.05
15.6884,47.2641,42.32
15.7864,46.9707,42.58
15.8844,46.6810,42.84
15.9824,46.3947,43.11
16.0804,46.1120,43.37
16.1784,45.8327,43.64
16.2764,45.5568,43.90
16.3744,45.2842,44.17
16.4724,45.0148,44.43
16.5704,44.7486,44.69
16.6683,44.4855,44.96
16.7663,44.2255,45.22
16.8643,43.9686,45.49
16.9623,43.7146,45.75
17.0603,43.4635,46.02
17.1583,43.2153,46.28
17.2563,42.9699,46.54
17.3543,42.7272,46.81
17.4523,42.4873,47.07
17.5503,42.2501,47.34
17.6482,42.0155,47.60
17.7462,41.7835,47.87
17.8442,41.5541,48.13
17.9422,41.3271,48.39
18.0402,41.1026,48.66
18.1382,40.8806,48.92
18.2362,40.6609,49.19
18.3342,40.4436,49.45
18.4322,40.2286,49.72
18.5302,40.0159,49.98
18.6281,39.8054,50.24
18.7261,39.5971,50.51
18.8241,39.3910,50.77
18.9221,39.1870,51.04
19.0201,38.9851,51.30
19.1181,38.7853,51.57
19.2161,38.5875,51.83
19.3141,38.3917,52.09
19.4121,38.1979,52.36
19.5101,38.0061,52.62
19.6080,37.8161,52.89
19.7060,37.6281,53.15
19.8040,37.4419,53.42
19.9020,37.2575,53.68
20.0000,37.0750,53.94
