L_mm,contrast_dB_rigid_r0.95,contrast_dB_good_seal_r0.80,contrast_dB_moderate_r0.50,contrast_dB_leaky_r0.20,delta_f_kHz
0.5000,31.8128,19.0829,9.5418,3.5216,1483.0000
0.5729,31.8116,19.0826,9.5418,3.5216,1294.3728
0.6457,31.8104,19.0824,9.5417,3.5216,1148.3152
0.7186,31.8091,19.0821,9.5416,3.5216,1031.8776
0.7915,31.8079,19.0818,9.5415,3.5215,936.8794
0.8643,31.8067,19.0815,9.5414,3.5215,857.8983
0.9372,31.8054,19.0812,9.5413,3.5215,791.1984
1.0101,31.8042,19.0810,9.5413,3.5215,734.1219
1.0829,31.8030,19.0807,9.5412,3.5214,684.7262
1.1558,31.8018,19.0804,9.5411,3.5214,641.5587
1.2286,31.8005,19.0801,9.5410,3.5214,603.5112
1.3015,31.7993,19.0798,9.5409,3.5214,569.7239
1.3744,31.7981,19.0795,9.5408,3.5213,539.5192
1.4472,31.7968,19.0793,9.5407,3.5213,512.3559
1.5201,31.7956,19.0790,9.5407,3.5213,487.7967
1.5930,31.7944,19.0787,9.5406,3.5212,465.4842
1.6658,31.7931,19.0784,9.5405,3.5212,445.1237
1.7387,31.7919,19.0781,9.5404,3.5212,426.4697
1.8116,31.7907,19.0779,9.5403,3.5212,409.3162
1.8844,31.7895,19.0776,9.5402,3.5211,393.4893
1.9573,31.7882,19.0773,9.5402,3.5211,378.8408
2.0302,31.7870,19.0770,9.5401,3.5211,365.2438
2.1030,31.7858,19.0767,9.5400,3.5211,352.5890
2.1759,31.7845,19.0765,9.5399,3.5210,340.7818
2.2487,31.7833,19.0762,9.5398,3.5210,329.7397
2.3216,31.7821,19.0759,9.5397,3.5210,319.3907
2.3945,31.7809,19.0756,9.5397,3.5210,309.6716
2.4673,31.7796,19.0753,9.5396,3.5209,300.5265
2.5402,31.7784,19.0750,9.5395,3.5209,291.9060
2.6131,31.7772,19.0748,9.5394,3.5209,283.7663
2.6859,31.7759,19.0745,9.5393,3.5209,276.0683
2.7588,31.7747,19.0742,9.5392,3.5208,268.7769
2.8317,31.7735,19.0739,9.5391,3.5208,261.8607
2.9045,31.7723,19.0736,9.5391,3.5208,255.2915
2.9774,31.7710,19.0734,9.5390,3.5207,249.0439
3.0503,31.7698,19.0731,9.5389,3.5207,243.0947
3.1231,31.7686,19.0728,9.5388,3.5207,237.4232
3.1960,31.7674,19.0725,9.5387,3.5207,232.0102
3.2688,31.7661,19.0722,9.5386,3.5206,226.8386
3.3417,31.7649,19.0720,9.5386,3.5206,221.8925
3.4146,31.7637,19.0717,9.5385,3.5206,217.1575
3.4874,31.7625,19.0714,9.5384,3.5206,212.6203
3.5603,31.7612,19.0711,9.5383,3.5205,208.2689
3.6332,31.7600,19.0708,9.5382,3.5205,204.0920
3.7060,31.7588,19.0706,9.5381,3.5205,200.0793
3.7789,31.7576,19.0703,9.5381,3.5205,196.2214
3.8518,31.7563,19.0700,9.5380,3.5204,192.5095
3.9246,31.7551,19.0697,9.5379,3.5204,188.9353
3.9975,31.7539,19.0694,9.5378,3.5204,185.4915
4.0704,31.7527,19.0692,9.5377,3.5204,182.1710
4.1432,31.7514,19.0689,9.5376,3.5203,178.9673
4.2161,31.7502,19.0686,9.5375,3.5203,175.8743
4.2889,31.7490,19.0683,9.5375,3.5203,172.8864
4.3618,31.7478,19.0680,9.5374,3.5202,169.9983
4.4347,31.7466,19.0677,9.5373,3.5202,167.2051
4.5075,31.7453,19.0675,9.5372,3.5202,164.5022
4.5804,31.7441,19.0672,9.5371,3.5202,161.8854
4.6533,31.7429,19.0669,9.5370,3.5201,159.3504
4.7261,31.7417,19.0666,9.5370,3.5201,156.8937
4.7990,31.7404,19.0663,9.5369,3.5201,154.5115
4.8719,31.7392,19.0661,9.5368,3.5201,152.2006
4.9447,31.7380,19.0658,9.5367,3.5200,149.9578
5.0176,31.7368,19.0655,9.5366,3.5200,147.7802
5.0905,31.7356,19.0652,9.5365,3.5200,145.6649
5.1633,31.7343,19.0649,9.5364,3.5200,143.6092
5.2362,31.7331,19.0647,9.5364,3.5199,141.6108
5.3090,31.7319,19.0644,9.5363,3.5199,139.6673
5.3819,31.7307,19.0641,9.5362,3.5199,137.7764
5.4548,31.7295,19.0638,9.5361,3.5199,135.9360
5.5276,31.7282,19.0635,9.5360,3.5198,134.1441
5.6005,31.7270,19.0633,9.5359,3.5198,132.3988
5.6734,31.7258,19.0630,9.5359,3.5198,130.6984
5.7462,31.7246,19.0627,9.5358,3.5197,129.0411
5.8191,31.7234,19.0624,9.5357,3.5197,127.4253
5.8920,31.7221,19.0621,9.5356,3.5197,125.8495
5.9648,31.7209,19.0619,9.5355,3.5197,124.3121
6.0377,31.7197,19.0616,9.5354,3.5196,122.8119
6.1106,31.7185,19.0613,9.5354,3.5196,121.3475
6.1834,31.7173,19.0610,9.5353,3.5196,119.9175
6.2563,31.7160,19.0607,9.5352,3.5196,118.5209
6.3291,31.7148,19.0605,9.5351,3.5195,117.1564
6.4020,31.7136,19.0602,9.5350,3.5195,115.8230
6.4749,31.7124,19.0599,9.5349,3.5195,114.5196
6.5477,31.7112,19.0596,9.5348,3.5195,113.2452
6.6206,31.7099,19.0593,9.5348,3.5194,111.9989
6.6935,31.7087,19.0591,9.5347,3.5194,110.7797
6.7663,31.7075,19.0588,9.5346,3.5194,109.5867
6.8392,31.7063,19.0585,9.5345,3.5194,108.4192
6.9121,31.7051,19.0582,9.5344,3.5193,107.2763
6.9849,31.7039,19.0579,9.5343,3.5193,106.1572
7.0578,31.7026,19.0576,9.5343,3.5193,105.0612
7.1307,31.7014,19.0574,9.5342,3.5192,103.9877
7.2035,31.7002,19.0571,9.5341,3.5192,102.9358
7.2764,31.6990,19.0568,9.5340,3.5192,101.9050
7.3492,31.6978,19.0565,9.5339,3.5192,100.8947
7.4221,31.6966,19.0562,9.5338,3.5191,99.9042
7.4950,31.6953,19.0560,9.5338,3.5191,98.9330
7.5678,31.6941,19.0557,9.5337,3.5191,97.9804
7.6407,31.6929,19.0554,9.5336,3.5191,97.0460
7.7136,31.6917,19.0551,9.5335,3.5190,96.1293
7.7864,31.6905,19.0548,9.5334,3.5190,95.2298
7.8593,31.6893,19.0546,9.5333,3.5190,94.3469
7.9322,31.6881,19.0543,9.5332,3.5190,93.4802
8.0050,31.6868,19.0540,9.5332,3.5189,92.6293
8.0779,31.6856,19.0537,9.5331,3.5189,91.7938
8.1508,31.6844,19.0534,9.5330,3.5189,90.9732
8.2236,31.6832,19.0532,9.5329,3.5189,90.1671
8.2965,31.6820,19.0529,9.5328,3.5188,89.3752
8.3693,31.6808,19.0526,9.5327,3.5188,88.5971
8.4422,31.6796,19.0523,9.5327,3.5188,87.8324
8.5151,31.6783,19.0520,9.5326,3.5187,87.0808
8.5879,31.6771,19.0518,9.5325,3.5187,86.3420
8.6608,31.6759,19.0515,9.5324,3.5187,85.6156
8.7337,31.6747,19.0512,9.5323,3.5187,84.9013
8.8065,31.6735,19.0509,9.5322,3.5186,84.1989
8.8794,31.6723,19.0506,9.5321,3.5186,83.5079
8.9523,31.6711,19.0504,9.5321,3.5186,82.8282
9.0251,31.6699,19.0501,9.5320,3.5186,82.1595
9.0980,31.6686,19.0498,9.5319,3.5185,81.5015
9.1709,31.6674,19.0495,9.5318,3.5185,80.8540
9.2437,31.6662,19.0492,9.5317,3.5185,80.2166
9.3166,31.6650,19.0490,9.5316,3.5185,79.5893
9.3894,31.6638,19.0487,9.5316,3.5184,78.9716
9.4623,31.6626,19.0484,9.5315,3.5184,78.3635
9.5352,31.6614,19.0481,9.5314,3.5184,77.7647
9.6080,31.6602,19.0478,9.5313,3.5183,77.1749
9.6809,31.6590,19.0476,9.5312,3.5183,76.5941
9.7538,31.6577,19.0473,9.5311,3.5183,76.0219
9.8266,31.6565,19.0470,9.5311,3.5183,75.4582
9.8995,31.6553,19.0467,9.5310,3.5182,74.9028
9.9724,31.6541,19.0464,9.5309,3.5182,74.3555
10.0452,31.6529,19.0462,9.5308,3.5182,73.8162
10.1181,31.6517,19.0459,9.5307,3.5182,73.2846
10.1910,31.6505,19.0456,9.5306,3.5181,72.7606
10.2638,31.6493,19.0453,9.5305,3.5181,72.2441
10.3367,31.6481,19.0450,9.5305,3.5181,71.7348
10.4095,31.6469,19.0448,9.5304,3.5181,71.2327
10.4824,31.6457,19.0445,9.5303,3.5180,70.7375
10.5553,31.6444,19.0442,9.5302,3.5180,70.2492
10.6281,31.6432,19.0439,9.5301,3.5180,69.7676
10.7010,31.6420,19.0436,9.5300,3.5180,69.2926
10.7739,31.6408,19.0434,9.5300,3.5179,68.8239
10.8467,31.6396,19.0431,9.5299,3.5179,68.3616
10.9196,31.6384,19.0428,9.5298,3.5179,67.9054
10.9925,31.6372,19.0425,9.5297,3.5178,67.4553
11.0653,31.6360,19.0422,9.5296,3.5178,67.0111
11.1382,31.6348,19.0420,9.5295,3.5178,66.5727
11.2111,31.6336,19.0417,9.5295,3.5178,66.1401
11.2839,31.6324,19.0414,9.5294,3.5177,65.7130
11.3568,31.6312,19.0411,9.5293,3.5177,65.2914
11.4296,31.6300,19.0408,9.5292,3.5177,64.8751
11.5025,31.6287,19.0406,9.5291,3.5177,64.4642
11.5754,31.6275,19.0403,9.5290,3.5176,64.0584
11.6482,31.6263,19.0400,9.5289,3.5176,63.6577
11.7211,31.6251,19.0397,9.5289,3.5176,63.2620
11.7940,31.6239,19.0394,9.5288,3.5176,62.8711
11.8668,31.6227,19.0392,9.5287,3.5175,62.4851
11.9397,31.6215,19.0389,9.5286,3.5175,62.1037
12.0126,31.6203,19.0386,9.5285,3.5175,61.7270
12.0854,31.6191,19.0383,9.5284,3.5175,61.3549
12.1583,31.6179,19.0380,9.5284,3.5174,60.9872
12.2312,31.6167,19.0378,9.5283,3.5174,60.6239
12.3040,31.6155,19.0375,9.5282,3.5174,60.2649
12.3769,31.6143,19.0372,9.5281,3.5173,59.9101
12.4497,31.6131,19.0369,9.5280,3.5173,59.5594
12.5226,31.6119,19.0366,9.5279,3.5173,59.2129
12.5955,31.6107,19.0364,9.5279,3.5173,58.8703
12.6683,31.6095,19.0361,9.5278,3.5172,58.5317
12.7412,31.6083,19.0358,9.5277,3.5172,58.1970
12.8141,31.6071,19.0355,9.5276,3.5172,57.8661
12.8869,31.6059,19.0352,9.5275,3.5172,57.5389
12.9598,31.6047,19.0350,9.5274,3.5171,57.2154
13.0327,31.6035,19.0347,9.5273,3.5171,56.8955
13.1055,31.6023,19.0344,9.5273,3.5171,56.5792
13.1784,31.6010,19.0341,9.5272,3.5171,56.2663
13.2513,31.5998,19.0338,9.5271,3.5170,55.9570
13.3241,31.5986,19.0336,9.5270,3.5170,55.6510
13.3970,31.5974,19.0333,9.5269,3.5170,55.3483
13.4698,31.5962,19.0330,9.5268,3.5170,55.0489
13.5427,31.5950,19.0327,9.5268,3.5169,54.7527
13.6156,31.5938,19.0325,9.5267,3.5169,54.4597
13.6884,31.5926,19.0322,9.5266,3.5169,54.1698
13.7613,31.5914,19.0319,9.5265,3.5168,53.8830
13.8342,31.5902,19.0316,9.5264,3.5168,53.5992
13.9070,31.5890,19.0313,9.5263,3.5168,53.3183
13.9799,31.5878,19.0311,9.5263,3.5168,53.0404
14.0528,31.5866,19.0308,9.5262,3.5167,52.7654
14.1256,31.5854,19.0305,9.5261,3.5167,52.4932
14.1985,31.5842,19.0302,9.5260,3.5167,52.2239
14.2714,31.5830,19.0299,9.5259,3.5167,51.9572
14.3442,31.5818,19.0297,9.5258,3.5166,51.6933
14.4171,31.5806,19.0294,9.5257,3.5166,51.4320
14.4899,31.5794,19.0291,9.5257,3.5166,51.1734
14.5628,31.5782,19.0288,9.5256,3.5166,50.9174
14.6357,31.5770,19.0285,9.5255,3.5165,50.6639
14.7085,31.5758,19.0283,9.5254,3.5165,50.4129
14.7814,31.5746,19.0280,9.5253,3.5165,50.1644
14.8543,31.5734,19.0277,9.5252,3.5165,49.9183
14.9271,31.5722,19.0274,9.5252,3.5164,49.6746
15.0000,31.5710,19.0271,9.5251,3.5164,49.4333
