L_mm,node_index,x_mm,p_sq_dual,F_dual,F_dual_norm,F_gorkov_dual_N
5.0000,0,0.500000,0.00000000,3.16383878e-06,0.999983,7.67962241e-29
5.0000,1,1.500000,0.00000000,1.58191347e-06,0.499990,3.83979684e-29
5.0000,2,2.500000,0.00000000,1.46268032e-11,0.000005,3.55038082e-34
5.0000,3,3.500000,0.00000000,1.58193157e-06,0.499995,3.83984076e-29
5.0000,4,4.500000,0.00000000,3.16389315e-06,1.000000,7.67975437e-29
10.0000,0,0.500000,0.00000002,7.11813553e-06,0.999997,1.72779326e-28
10.0000,1,1.500000,0.00000001,5.53632423e-06,0.777775,1.34383837e-28
10.0000,2,2.500000,0.00000000,3.95450736e-06,0.555552,9.59882137e-29
10.0000,3,3.500000,0.00000000,2.37270164e-06,0.333331,5.75928609e-29
10.0000,4,4.500000,0.00000000,7.90851270e-07,0.111103,1.91964242e-29
10.0000,5,5.500000,0.00000000,7.90887454e-07,0.111108,1.91973025e-29
10.0000,6,6.500000,0.00000000,2.37278246e-06,0.333342,5.75948227e-29
10.0000,7,7.500000,0.00000000,3.95449890e-06,0.555551,9.59880085e-29
10.0000,8,8.500000,0.00000001,5.53639389e-06,0.777785,1.34385528e-28
10.0000,9,9.500000,0.00000002,7.11815497e-06,1.000000,1.72779798e-28
20.0000,0,0.500000,0.00000007,1.50250694e-05,0.999995,3.64705245e-28
20.0000,1,1.500000,0.00000006,1.34434776e-05,0.894732,3.26315084e-28
20.0000,2,2.500000,0.00000004,1.18618832e-05,0.789469,2.87924859e-28
20.0000,3,3.500000,0.00000003,1.02802999e-05,0.684206,2.49534905e-28
20.0000,4,4.500000,0.00000002,8.69867193e-06,0.578941,2.11143868e-28
20.0000,5,5.500000,0.00000002,7.11715551e-06,0.473683,1.72755538e-28
20.0000,6,6.500000,0.00000001,5.53548302e-06,0.368415,1.34363419e-28
20.0000,7,7.500000,0.00000000,3.95398899e-06,0.263158,9.59756314e-29
20.0000,8,8.500000,0.00000000,2.37231644e-06,0.157890,5.75835109e-29
20.0000,9,9.500000,0.00000000,7.90777776e-07,0.052630,1.91946403e-29
20.0000,10,10.500000,0.00000000,7.90894763e-07,0.052638,1.91974799e-29
20.0000,11,11.500000,0.00000000,2.37238880e-06,0.157895,5.75852672e-29
20.0000,12,12.500000,0.00000000,3.95406135e-06,0.263163,9.59773878e-29
20.0000,13,13.500000,0.00000001,5.53555538e-06,0.368419,1.34365175e-28
20.0000,14,14.500000,0.00000002,7.11722787e-06,0.473688,1.72757294e-28
20.0000,15,15.500000,0.00000002,8.69872197e-06,0.578944,2.11145083e-28
20.0000,16,16.500000,0.00000003,1.02804838e-05,0.684219,2.49539370e-28
20.0000,17,17.500000,0.00000004,1.18620671e-05,0.789481,2.87929324e-28
20.0000,18,18.500000,0.00000006,1.34434719e-05,0.894732,3.26314945e-28
20.0000,19,19.500000,0.00000007,1.50251446e-05,1.000000,3.64707069e-28
